id,text,polarization,back_translated
swa_c51b764d20104cd1a02dc6d14db1a3f7,wamaasai na ujinga yao wanataka kuua wasomalia kajiado ya nini na bila hao kajiado haina kitu ni ngombe na hao mangombe wanazichunga,1,Masai na ujinga wao wanataka kuwaua wafanyakazi wa Somalia.
swa_7cc7635d8d23b6ada581676c89cdd86d,wanadai mahakama imejaa wakikuyu unategemea matokeo ya aina gani hapo ulafi umeisha,1,Wanadai kwamba mahakama imejaa tini kulingana na matokeo ya kula.
swa_e8742fb442bef7de2504bc209cf14144,wapi hao wakisii wakuje wapande ndizi hizi pot holes za limuru road,1,Wapi hawa wadogo kuja kupanda hizi mashimo ya sufuria ya banana ya barabara ya limuru
swa_a0eef430a7c7cecad86ab495e139cfae,wasapele wametoka kujifanya wamaasai hadi sai ni wazungu ghai hawa akina mtatuuwa trhk,1,Makuhani wamekuwa kutoka kudai kuwa Maasai kwa Sai ni nyeupe Ghai hawa watatu kuua Trhk
swa_f265847e9d96089291740769c103b54b,wasichana wameru wakikuyu wakamba waluhya sio waugly saana wajaluo wamaasai wakisii ni waugly sanaa,1,"Wasichana ni nyeupe, wao ni nyeupe, wao si mbaya."
swa_73e06b8fc6bb90e9fab7346d1f78810d,wataka kuwatongoza amalolrt tupewe practical examples za hawa wakisii mahunk,1,"Unataka kuwaongoza, hebu tuwekee mifano ya vitendo."
swa_942d5f0660a456dcb42955bf066fe1ca,watu wa northern kenya mko pool b na kikuyus kales sasa ndio mtapigwa huko kasarani vizuri lol,1,Watu wa kaskazini mwa Kenya mko pool b na kikuyus kales sasa kwamba ni nini wewe ni gonna kupata hit katika lawn vizuri lol
swa_0b71fc5610be1017899ccadd541ca168,waluya kudoz wakisii sisi waheshimiwa wetu ni mafisi qwetuasubuhi,1,"Kwa jinsi wanavyo, wao ni fairies yetu."
swa_a3c32f62723d077a06c5e9e4fb6c2895,we are all related rt but kalenjins r tribalists ukipatana na mkalenjin amepatwa na shida tao unamwongeza shida,1,Sisi wote ni jamaa RT lakini Kalenjins r tribalists kama unakubaliana na Kalenjin alikuwa na tatizo tao wewe ni kuongeza tatizo
swa_7f046a516c1ffd3ba29849b2de730208,wakikuyu hamtaacha kutusurpriseeti githeri imemixiwa na spaghetti inaitwa githeri rasta via,1,Tini hazituruhusu kukushangaza.
swa_bc06ff8cfc95146b5fd18b23b61c5569,wakenya gani sema wakikuyu ndio mafala,1,"Wanasema nini, ""Matumbo ya tini ndiyo maneno?"""
swa_74c42e11541a7f1834d26f349b34637b,wachana na sisi rt ati work like a fry si ni fly lool wakikuyu na chida ya matumichi,1,Kichina na sisi rt alisema kazi kama fries si kuruka lool wikuyu na chombo cha matumizi
swa_a8311043bafc28eb3a4889621826bd2f,wahindi na warabu wanaroho mbaya wanatuona sisi manyani wakat ukiwaangaria vizur wao ndio kama manyani tucwakumbatie hawa washenzi,1,Wahindi na wachawi wenye roho mbaya hutuona katika jua na wao ni kama nyani.
swa_f468c7fd65bb1c2a7b8de551c0dfe3aa,wajaluo hawanaga ochandio maana kisumu ni expensivemtu ana range na ocha ni vichaka tuati wanaogopa watauawa,1,sumu ni ghali.Wewe una eneo na ocha ni vichaka.
swa_0661472de77d502c4475184e380292bf,wajaluo jamani mnapenda fujo hadi kusoma katiba alexnanicktbt,1,Wajerumani knights wewe kama ghasia kusoma katiba alexnanicktbt
swa_800d4041b5ae3d90a1934b962bb211f8,wajaluo jo mtu anapenda samaki mpaka kwa club anakunywa king fisher,1,Mtu huyo anapenda samaki sana kwamba klabu hutumia King Fisher
swa_0c858a59dfb99be84486599cffd475ab,wajaluo mlirogwa na nani si ukimwi si ujinga si kurusha maweah,1,"Watu walio na UKIMWI si wajinga, hawatumii mawe."
swa_805d27d3ba6648911616226c72896121,wajaluo msipo piga kura hatutaleta gari zetu kwa garage mtingeneze alafu kazi ya mjengo msahau kenyapolleve,1,"Kama wewe si kupiga kura, sisi si kuleta magari yetu kwa garage."
swa_8ed7452dd227433c9eb8e17ad5169924,wajaluo na democracy wanaweza kula ndani ya pit latrine na akuambie this is my democratic right,1,Wazungu na demokrasia wanaweza kula katika choo cha maji na kukuambia hii ni haki yangu ya kidemokrasia.
swa_34e848ef14a54f15bb227954cf578d36,wajaluo ni hooligans na si tafadhare kuanzia game za kpl vurugu wanapenda kweli,1,Hooligans ni hooligans na si mwanzo wa mchezo wa kpl vurugu wao kweli upendo
swa_5e2d5fff3db3dbf9c714b3c40f9b4ee5,wajaluo siyo watu wazuri victor wanyama jana kamfanya kante aonekane nyanya ya unguja watu walimgawana mjaluo mwenzao marafikiwaspurs,1,Watu hawakuwa watu wema mshindi wanyama jana alifanya yeye kuangalia kama nyanya manyoya watu pamoja watu walikuwa marafiki
swa_51b7caf70dc6910d3e1bda096d8f3d56,wakikuyu acheni ufala sisi kama macordofians lazima tukaribishe baba,1,Hebu kuondoka udikteta sisi kama Macordobians lazima kuwakaribisha baba
swa_727cb37d7bc7389bc888c1256ac812cf,wajaluo wachaneni tu na kiswahili tafadhali iyo sio mdomo chetu otek tuongee tu ile sophisticated english tumezoea kiswahili tabu,1,"Tafadhali, tafadhali, tafadhali, tafadhali, tafadhali, tafadhali, tafadhali, tafadhali, tafadhali, tafadhali, tafadhali, tafadhali, tafadhali, tafadhali, tafadhali, tafadhali, tafadhali, tafadhali, tafadhali, tafadhali, tafadhali, tafadhali, tafadhali, tafadhali, tafadhali, tafadhali, tafadhali, tafadhali, tafadhali, tafadhali, tafadhali, tafadhali, tafadhali, tafadhali, tafadhali, tafadhali, tafadhali, tafadhali, tafadhali, tafadhali, tafadhali, tafadhali, tafadhali, tafadhali, tafadhali, tafadhali, tafadhali, tafadhali, tafadhali, tafadhali, tafadhali, tafadhali, tafadhali, tafadhali, tafadhali, tafadhali, tafadhali, tafadhali, tafadhali, tafadhali, tafadhali, tafadhali, tafadhali, tafadhali, tafadhali, tafadhali,"
swa_aea59a5e6b2889ed137d61ef37d4a083,wajaluo wako na ukiritimba sana alexnajalas,1,Young na talanta sana alexnajalas yako
swa_88c46eefdb6598bf3a3a4b9409e257c3,wajaluo wanakuwanga wajinga,1,Hakika wapumbavu ni wapumbavu
swa_b594c652d9c464c4e074bd273978a48d,wakale ni mangaa huwa wanatombwa na macuzo since wawe young wakigrow ndio hawa sponsor na vikwaru kupanua kuja sana,1,Watu wazee ni manga huwa hunyaswa na macuzo tangu wao ni vijana na mzima ni hizi sponsor na scratches kupanua kuja sana
swa_b1292f46656ad04f4c6dc454c46bfd6f,wakale wana tabia mbaya sana sasa hawa wawili wanapicana juu ya mango juice imagine,1,Wale wazee wana tabia mbaya sana sasa hawa wawili ni ahadi juu ya juisi ya mango
swa_0d95f203febbef2eea0cb2bdde5473f8,wakalee tuko na ramires rt haha wakisii wana bxalotelli temper rt sisi waluhya tuna cent na hatujichochi,1,Tuna Ramires Rt haha waoisii wao wana Bxalotelli tabia rt sisi ni safi sisi tuna senti na sisi si kuchochea
swa_b3ff21ffc1cc5c94bcef18c4eeb3072a,wakamba na wajaluo kazi yao yao uchawi atamutumie nn hiki hampati ngo,1,"Mbwa na wachawi, uchawi wao ni kazi yao."
swa_0258b3b14fd2c2b12f2483d3cdb2760e,wakamba shida zenyu zote zimeletwa na wakikuyu kalonzo amemaliza umasikini na kuwapa maji no wonder wakamba no matajiri sana,1,Matatizo yako yote ni kutokana na Vikings Kalonzo amefanya umaskini na kuwapa maji si ajabu matajiri si
swa_57bef0f41c3cdad099820574e59b89ea,wakamba wacheni uyinga rt o rt luos are the most faithfull men in kenyaagree,1,Kenai Uyinga Rt o Rt Luos ni wanaume waaminifu zaidi katika Kenya kukubaliana
swa_c50454b4619822fc637b1e8b4971011f,wajaluo wakitoka nairobi mtoto ya umbwa kama wewe si utakufa njaa,1,"Watoto kutoka Nairobi, mbwa kama wewe, watakufa njaa."
swa_0048e236f436fc1728e9a2050c10f098,wacha nisiseme wajaluo wote wanakuanga na ujinga but this jaramogi family is just down low stupid hawa ndio baba yao,1,"Acha nikuambie, Naluo wote ni wazimu, lakini familia hii Jaramogi ni chini chini tu stupid."
swa_9f8b58dc17f6a6e574d2b5d54bfbca65,we are only one when they are campaigning sahi kwao si wakenya wanauliwa ni wajaluo,1,Sisi ni mmoja tu wakati wao ni kampeni sahi kwa ajili yao si Kenyans waliouawa na Naluo
swa_4bad8079916d0781f22ff4df4bd3ebdd,wajaluo wako matusi mingi sana shame on you,1,Binamu zako wanakuchukia sana
swa_c6659006b8ae4916a29c4a973b85a4f9,wajaluo watafuata baba hata kama baba ameiba mahindi,1,Watoto watafuata baba yangu hata kama ataiba mahindi.
swa_95003d813bc08561779e9adaac1a0efb,wakale na wakikuyu tunachoma towns zetu saa ngapi,1,Wazee na tini sisi kuchoma miji yetu wakati gani
swa_ba6bfa34affb8c0c778e6c4bf04b512f,wakale walitambariza hao wasee walemavu lol,1,Wale wazee walikuwa kuwafariji wale wenye ulemavu lol
swa_58c223ffd19ad1c5341bd8fce56bc2b7,wakenya sema wakikuyu walevi aki,1,Na wanasema: Na tini za mlevi.
swa_52ea99ebc7c33cbf2f9680f9fe9f4e0d,wakikuyu frauds hao m g k y origi hajui kudance,1,Wikuyu udanganyifu kwamba m g k y origi hajui kudance
swa_9e24f3673746cae18ed43e4fd1a1f601,wakikuyu mmetufika mwisho wajinga nyinyi,1,Na ikiwa nyinyi ni wajinga basi mmefikia mwisho.
swa_1b8917d52407b0dc18730bc17eafc0b2,wakikuyu mtatuonyesha mambo,1,"Kama wewe ni kwenda kutuonyesha mambo,"
swa_64b30ac3915b6a0d8c8b5725f820dca1,wajaluo wa kariakoo can do everything,1,Karneval inaweza kufanya chochote
swa_6f13741932ec904d08693c0e838e845e,wakikuyu ni ma hustlers baba ake matako hao,1,Tini ni wafanya biashara.
swa_a50760d91c04303dd0bbe701e2cbe136,wakikuyu ni wakikuyu ona tumbo na matako,1,"Mawe ni mawe, angalia tumbo na machwa."
swa_2b1b4cf2af71289d21ceb117c92d44d3,wakikuyu waliambiwa wasije shule iyo sikusauti ni ya wjaluo,1,Wikuyu waliambiwa wasiende shule ambapo sikuita shule ya Waluo.
swa_ae6ba1c93cdaeaa5e5c252e9e9e02e63,wakikuyu wanakaa giza hivi,1,Matango wanaishi gizani.
swa_8e212d9dfef143d7b036e8291706c39d,wakikuyu wanakaa wamama sana,1,Viniga ni imara sana.
swa_522a67af34099ca287c38812d6ff2130,wakisii wadeportiwe pia warudi kwao ndiziney land,1,"Kama si, wao ni deported na wao ni kwenda nyumbani katika Niziney Land."
swa_1466a6ec4a6a070963f960ec7b937711,walai naskia ku xenophobia hawa wazungu from kenya,1,Mimi si shabiki mkubwa wa ubaguzi wa rangi.
swa_8337f226159d656e5af105449b4519dc,wale walistage demos githurai na kikuyu walikua wajaluo,1,Wale waliotoka katika majimbo ya Githurai na kikuyu wakawa Naluo.
swa_7ba3fbe6f1f228dc303a1261563a93cc,wanawake makatili hao masai,1,Wanawake hao wa Ki-Masai wenye ukatili
swa_a0540e8c964f6ecb884348a41ae15ecc,wakikuyu ndio hamna kura nowweknow,1,Wewe huna kura sasa.
swa_c4cdb50cbb647c89f07042a5530d5156,wajaluo wa america watampigia trump wao kura kesho,1,Watu wa Marekani watamchagua Trump kesho.
swa_8ff4fa10fb7f35b83931fafb1692bee9,wajaluo ujinga nayo kiberanani mjinga sasa,1,Upumbavu wa upumbavu wa upumbavu wa upumbavu wa upumbavu wa upumbavu wa upumbavu wa upumbavu wa upumbavu wa upumbavu wa upumbavu wa upumbavu wa upumbavu wa upumbavu wa upumbavu wa upumbavu wa upumbavu wa upumbavu wa upumbavu wa upumbavu wa upumbavu wa upumbavu wa upumbavu wa upumbavu wa upumbavu wa upumbavu wa upumbavu wa upumbavu wa upumbavu wa upumbavu wa upumbavu wa upumbavu wa upumbavu wa upumbavu wa upumbavu wa upumbavu wa upumbavu wa upumbavu wa upumbavu wa upumbavu wa upumbavu wa upumbavu wa upumbavu wa upumbavu wa upumbavu wa upumbavu wa upumbavu wa upumbavu wa upumbavu wa upumba
swa_5a2522c84f42b62b6b5b3ab692fa2acc,we amepea shout out watu wa alego na kisumu wajaluo sasa hawatashikika kwani iko nini bwanaaa obama ni jaluo,1,Tumetoa kilio kwa watu wa Alego na Kisumu Jaluo sasa hawatakuwa hawakamatwa kwa sababu kile ambacho ni Bwana Obama ni Jaluo
swa_806334758786daada0bef3b6406e28c7,wee kuna rais wa marekani mhaya oscar award winner mhaya miss earth fire mhaya hapana chezeya wajaluo nyie,1,"Oh, kuna Rais wa Marekani, mshindi wa Oscar, Miss Earth moto, hakuna-hakuna-hakuna-hakuna-hakuna-hakuna-hakuna-hakuna-hakuna-hakuna-hakuna-hakuna-hakuna-hakuna-hakuna-hakuna-hakuna-hakuna-hakuna-hakuna-hakuna-hakuna-hakuna-hakuna-hakuna-hakuna-hakuna-hakuna-hakuna-hakuna-hakuna-hakuna-hakuna-hakuna-hakuna-hakuna-hakuna-hakuna-hakuna-hakuna-hakuna-hakuna-hakuna-hakuna-hakuna-hakuna-hakuna-hakuna-hakuna-hakuna-hakuna-hakuna-hakuna-hakuna-hakuna-hakuna-hakuna-hakuna-hakuna-hakuna-hakuna-"
swa_fe7b0a5effc5564bee3ba743f09caa09,wee ni mgikuyu unaishi kiambu unadhani wakikuyu wote wanakaa uko bad road to take bro hatuogopi kitukam ni vita mnataka semeni nkt,1,Wewe ni mtini kuishi ndoto mbaya unafikiri wote mtini ni kukaa wewe ni mbaya njia ya kuchukua ndugu sisi si hofu kitukam ni vita unataka kusema nk
swa_c27871aa8d9610e1c7221506532f04f4,wewe na wajaluo wenzako ndio hamjielewi mnashindwa badala ya kukubali ni kulialia kama watoto grow up na mwache ujinga,1,Wewe na wanafunzi wenzako ni wale ambao hawaelewi wewe ni kushindwa badala ya kukubali ni kulia kama watoto kukua na kuacha ujinga
swa_8e0a3130979aea46aaafa8e106225482,wewe ni kama uko na phd ya porojo arm twisting facts to fill your narrative ni kama umebebea wakikuyu wote kura,1,Wewe ni kama una PhD ya porojo mkono twisting ukweli kujaza hadithi yako ni kama wewe ni kuwa na kushughulikia kura zote
swa_dce6891185573f4d742503d7d017d69d,wewe ni mavi ya kukuround hii hata waluhya tumekataa hii ujinga ya wakikuyu na their blindnesskiumane tupigane iishe,1,Wewe ni majivu ya raundi hii hata mpya tumeikataa hii ujinga wa tini na upofu wao Kiumane hebu kupambana na Ishe
swa_42169c1a5077a590d78b318d4b8f1397,wewe tunakupeleka gatundu wait and see hao wakikuyu wa ocha ndio wanakusupport tu others have shifted tosha,1,Wewe utakuwa na kidogo ya hangover. Subiri na kuona. wale ocha tini ni wale ambao ni kusaidia wewe.
swa_aee423ba2d75f0aed0be4759122e73b7,wewe sitaki kujua wewe ni mluyhia wa kanisa gani hizo panganga unazo zatokana na kukuzwa na mama kwa neighborhood ya masoftie wengine tulijifunza kuheshimu wenzetu tukiwa bado wachanga baada ya kushuudia vifo za visu kutokana ya madharau ama matusi,1,Hutaki kujua wewe ni kanisa la aina gani.
swa_0a4f5ef35f286dd4e478bd9283b3ce0f,i hateall luos leo sijui kulikwa na game ya gor mahia na mimi nilikuwa raundi zangu tao nikaskia vioo vya,1,Mimi chuki leo Luos Sijui jinsi ya kucheza mchezo wa Gor mahia na mimi alikuwa raundi yangu tao nilikuwa casting glasi
swa_6eed13bca4c30a30e1135e65ea45180a,i hatejubilee i wish all kikuyu s reject uthamaki shit nasa ndio dawa yenu bure kabisa uhuruto,1,Ninachukia Jubilee Natamani kila kikuyu kukata tamaa shit nasa ni dawa yako kabisa bila ya majuto
swa_6b258c011f23bf244f1c7a9f05e47ae3,i hatethose people who hateon luos ati coz hawajatahiri alafu ni mwanaume anahateas if anatombwa na hao,1,Mimi chuki watu ambao chuki Luos Ati kwa sababu hawana wazo Alf ni mtu ambaye anachukia kama yeye ni bullied na wale
swa_ab0bc4e71fd1083cbad83ecae17ccba8,uthamaki will kill you nyinyi wakikuyu,1,Ufalme atakuua wewe Wikuyu
swa_b4a1871027e67081d13fe073ccafc72b,wajaluo ulipa mahari na samaki,1,Wakulima walinipa nafaka na samaki.
swa_9d8b5b5bacbbdc6c22c7f59ff37c6c2c,uyu mundu anachukia wakikuyu nkt na hatuwezi,1,"Kisu hiki anachukia yucca, na sisi hatuwezi."
swa_bd1e0bbf62062ee716cad648245f99cf,vile rao huwa amebebea wajaluo akili jamani,1,Jinsi Rao alivyozaa wasomi Wajerumani
swa_618505d0ad4f4fa2a390fa0c88343c03,wahindi wanatafuta nini hawa kubabeki,1,Wahindi wanatafuta kile watoto hawa huzaliwa na
swa_e51ae9b778f0c2f943fe5eed64edaca3,wajaluo kujichocha nayo sidebar,1,Bar ya pembeni
swa_c17ec45c40975560570c6019210a9978,wajaluo mdomo kubwa lakini ikifika actions hawako,1,Maneno makubwa lakini linapokuja suala la vitendo si
swa_33c3a9d3a1b938c726344b580f5d0441,wajaluo mna uchungunyi si lightskins,1,"Wavulana wana kidogo ya crutch, si taa ya mwanga."
swa_fa46a3a0dfc4e4b0e92bd0e7d797e0f2,wanawake wakikuyu watatumaliza,1,Wanawake wa shamba la mizabibu watamaliza
swa_c60f6b76b732fc0932de3fcebe243b4c,wacha akufe huyu mlogi wenu wajaluo kwenu ni ug sio kenya,1,Acha mti huu kufa watu wako ni ug si Kenya
swa_2dd6aba27f9861939589eae584e1b182,you are all disgraces to the luhya community hawa waluhya wamenunuliwa na wakikuyu,1,Wewe ni aibu kwa jamii Luhya haya mpya wamenunuliwa na Wikuyu
swa_0de52fead4655c428beb8d89139cc10a,alikuwa anasimamia nani kwa maji wajaluo wakila wakilala wakiota kila kitu raila mimi naongea baba na mamangu sio kimtu siwezifikia fools,1,Alikuwa akizungumza nani na maji coyotes walikuwa kula kulala ndoto kila kitu reli mimi kuzungumza na mama yangu na baba yangu si kitu mimi siwezi kufikia wapumbavu
swa_6f315c55a1e811756c44777c38523613,be nice hao watu wanasema ati there are only k black rhinos left wamehesabu madem wakikuyu wenye wako na matyre kweli,1,Kuwa nice watu hawa wanasema kuna k tu nyeusi rhino walibaki walihesabu madem tini na yako na matyre kweli
swa_4265bd6f88b7fd6ba9c5ffa06c5f3390,from what i know nyamira hakuna wakikuyu but baba ameekwa chini stfu bih,1,Kwa yale najua nyamira hakuna wakiku lakini baba ameuawa stfu bih
swa_395accf0b4b4e473922ee2bbc0adda5f,hakuna wajaluo wanauwawa hao niwezi,1,Hakuna mtu ni kuua guys hizi naweza.
swa_053e104777f363245595401ed966ac67,hakuna wapenda ukabila kuliko jamii ya wakikuyu those are doom curse,1,Hakuna mtu anapenda jamii zaidi ya Wikuyu watu.
swa_76b84693ce833aadeabfc57240bae291,hakuna watu wezi kama wakikuyu fuck u kikuyus pictwittercomwpulmrrn,1,Hakuna wezi kama Kikyu fuck wewe Kikyu pictwittercomwpulmrrn
swa_81b49b99ec179db90412d8332602e1fd,hawa ma mpigs wako ntv wanapiga makelele utafikiria ni wakisii lol riftinthenorth,1,Hizi ni nguruwe yako ntv ni kupaaza sauti wewe kufikiri ni bishano lol riftin kaskazini
swa_13ebcc20dc5ebbf982fc9266db3d43e1,hawa ma twins wote ni wakikuyu sasa wezi wanakuja in double double,1,Mapacha hawa wote ni wajane sasa wezi huja katika mara mbili mara mbili
swa_82a6bacdb0871af09a338e0ba200017e,hawa ndugu zetu wahindi wanaweza kukutoa ndani uchi uchi ukidhani tumeingiliwa na mabomu juukumbe mafatakimmmxxiiiuuu,1,Ndugu zetu Wahindi wanaweza kukuingiza uchi uchi ikiwa unafikiri tunavamiwa na mabomu
swa_cd1e986f2834e622e53916dd07e8671c,hawa ni wale professor wa wakikuyu professor rubbish amekula pesa ya nys sasa kutoka asubuhi mpaka jioni ni raila odmprimaries,1,Hizi ni wale profesa wa kikuyu profesa taka amekula fedha ya nys sasa kutoka asubuhi hadi jioni ni Raila Odm primaries
swa_e1355c178e65fc1a0c85eb20d19942a7,hawa wahindi useless zao hazina display ni tu kelele cc,1,Wahindi hawa wasiofaa hazina zao kuonyesha ni kelele tu cc
swa_5025f529036aca2ae3228ad0be252d5d,hawa wajaluo wa gor wana mdomo sana kcb imewatinga safi hell endeni mshinde caf cup,1,These gor boys have a very mouthful KCB kicked yao nje safi Hell kwenda kushinda kikombe cafe
swa_485347bd018238ef8280dd060a860dfb,hawa wajaluo wa airlift kmbe kule us walienda kusumbua sana mmechki philip ochieng pulld a barack snr in th s,1,Hawa ndege wafanyakazi kutoka Marekani walikwenda kwa matatizo sana MECCHKI Philip Ocheng alivuta baraza snr katika miaka ya
swa_ce6de9424db44d2e2205f9fa00c56dc7,hawa wajaluo wa jkuat juja they really sucks kelele kila mahali wakiongea kujaluo,1,Hawa Jkuat juja Jaluo wao kweli sucks kelele kila mahali kuzungumza Jaluo
swa_235161746151bacd746a94bcdafe8227,hawa wakamba wa kavonokyawakorino wanakataa vaccination ya polio ni wapuzi sana faithfulignorance,1,"Wanyama hao wa Kavon, ambao hukataa chanjo ya polio, ni wasio na imani sana."
swa_1ec5896b6a9da5b745b2df664ebd9878,hawa wakikuyu hawawezi pigia raila kura lakini wakipomolewa vipanda wanakimbilia ofisi yake washenzi,1,"Wale hao wa kijivu hawawezi kupata tiketi ya reli lakini wanapoangushwa, wanakimbia kwenda ofisini mwake."
swa_481a844d0b8cf88417d96fe26c2558d3,hawa wakikuyu though sa bae ameongeza waru wa sembe ndo ati ugali iwe mingi,1,Hawa wakikuyu ingawa sa bae aliongeza zaidi ya sausage na alisema vitunguu inapaswa kuwa zaidi
swa_262bcc4248c7bf783a0c4ec02a851920,hawa wakikuyu wa othaya wako na ujaluo mwingi kuliko wajaluo wa kisumu,1,Hizi ni tini za othaya yako na ni bora kuliko uzuri wa uzuri.
swa_dade7084eefc0d67639c12a411353e09,hawa madem wakale na boobs kubwa na haga kaa za waindi wanakaa kama funnel,1,Hawa madems wa kale na matiti makubwa na Wahindi wenye magugu kukaa kama funnels
swa_d730b699a8e090d2c9bead0a335f6b99,yaani wakikuyu lazima wamake jokes na kikuyu this idiots are so tribal,1,"Hiyo ni, Kikuyu lazima kufanya ucheshi na Kikuyu hawa wajinga ni hivyo makabila"
swa_c6f794d4e5930430afcc5bdd681d5eb4,wtf chifu wa mpeketoni anaitwa macharia mwangi kikuyus are now too much mpeketoniattack,1,WTF mkuu wa pete ni kuitwa macharia mtawa kikuyus sasa ni juu ya mashambulizi ya pete
swa_c7a4c7776e0d13ecf6811c3e948b9cec,the only people who can lead kenya kikuyu best option wakikataa are kalenjins na mnajua,1,Watu pekee ambao wanaweza kuongoza Kenya kikuyu bora chaguo kama wao kukataa ni kalenjins na unajua
swa_0cfde55eff5a23a6c9f169d8397cb199,tukienda canaan tunabeba wakikuyu kadhaa wa kuuza mayai za quails,1,"Tunapokwenda Kanaani, tunabeba tini chache ili kuuza mayai ya viota."
swa_7d240159258593ec4edddd4ec8e45f95,tuweke na under receivership ndio tujue nani humoan kama wajaluo nje ya lee funeral home,1,Hebu kuweka chini ya risiti na hebu kujua ni nani ni human kama hoodlums nje ya Lee nyumba ya mazishi
swa_11e98982f244c9c98c0bffd7b9191c87,ukabila ni ujinga lakini wazungu nao ni wajinga sana lakini hii ya wajaluo na wakikuyu ni ujinga zaiiidi how can a ugandan jomo kenyatta and a,1,ubaguzi wa rangi ni wazimu lakini watu weupe pia ni wazimu sana lakini hii ya Naluo na Wakikuyu ni wazimu Ziiid jinsi gani Uganda Jomo kenyatta na a
swa_a14b3cab59b2843a06c6830fc314c4e3,ukabila tu ni mimi tu nimenotice ama hawa wakale huwaga na stori refu kwa phone call,1,Mbio pekee nimekwisha kujua ni kama wanaume hawa wazee wanazungumza na kusema hadithi ndefu kwenye simu.
swa_7f92327fb03a55deb682496fcd256f46,those are kikuyus not kenyanswangekua wakenya wangekua wamelala makwao warauke lakini sikwenda kulala hapothey are not nairobians,1,Hao ni kikuyus si kenyanswangekua Kenya ingekua kulala nyumbani kuruka lakini mimi si kwenda kulala hapothey si Nairobi
swa_35e500ec6d7c4429d18b294f137e11e7,tribalism will kill you kwani ulikua peponi school ukakosa kukula githeri ama pia mlikula ju ilikua imejaa wakikuyu mazee be wise,1,Tribalism atakuua kwa sababu wewe kukua katika paradiso shule wewe si kula gitaa au wewe kula juisi ilikua kamili ya wakiku maze kuwa na hekima
swa_358a11a87a9c2a94e9e6b227f7230b66,tribalism will never end in kenya as long as these tribal theories exist wakamba hawana maji wakikuyu ni wezi wajaluo hawajatahiri,1,Utaifa hautaisha kamwe Kenya maadamu nadharia hizi za kikabila ziko
swa_cd4167c70ac1d31515b2ebd1fceeb8a1,u wakikuyu thieves mbona munawashwawashwa na chochote baba anasema,1,U wakikuyu wezi kwa nini wewe ni kuteseka na chochote baba anasema
swa_ebb29e295c6a2133fe6e8d5afb7fd08e,ubaya ya kupanda matatu ya hawa wakisii ndio hiithe longest route became a shortcutnqkt,1,Hasara ya kupanda tatu hizi ni kwamba njia ndefu zaidi akawa shortcut
